商品,订单号,订单状态,商品总价(元),店铺优惠折扣(元),平台优惠折扣(元),用户实付金额(元),商家实收金额(元),商品数量(件),发货时间,确认收货时间,商品id,商品规格,样式ID,商家备注,售后状态,快递单号,快递公司,订单成交时间,是否分期,分期期数,手续费承担方,分期方式
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230710-172249588761848,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:38,2023/7/22 1:38,"498404375841	","黑色+灰色【2件装】,3XL（建议145-160斤）","1414665284396	",#dd#230711-148855888702951#18059530840#2023-07-11#0#18.91##;,无售后或售后取消,"463008550456642	",韵达快递,2023/7/10 21:39,否,,"	",
薄款冰丝睡衣女夏季短袖短裤胖mm300斤加肥大码家居服2件套装外穿,230710-435851161063523,已发货，退款成功,"103.7	","5.0	","0.0	","98.7	","98.7	","1	",2023/7/12 1:38,"	","498008298557	","8862KA2小花冰丝 偏大,M码 建议80-110斤","1414020392502	",#dd#230711-352782970302951#18059530840#2023-07-11#0#42.9##;,退款成功,"463008550440403	",韵达快递,2023/7/10 21:37,否,,"	",
100%纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230710-236878632323023,已签收,"63.75	","5.0	","0.0	","58.75	","58.75	","1	",2023/7/12 1:38,2023/7/22 9:38,"498274982588	","全棉25306,2XL 【130-160斤】","1414448705180	",#dd#230711-321441043902951#18059530840#2023-07-11#0#21.98##;,无售后或售后取消,"463008550456082	",韵达快递,2023/7/10 21:37,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230710-211319572142318,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:38,2023/7/17 22:35,"497947696959	","全棉25192,L 【100-120斤】","1413927064054	",#dd#230711-176564509502951#18059530840#2023-07-11#0#24.98##;,无售后或售后取消,"463008550452046	",韵达快递,2023/7/10 21:35,否,,"	",
100%纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230710-154612582032047,已签收,"63.75	","5.0	","0.0	","58.75	","58.75	","1	",2023/7/12 1:38,2023/7/22 9:38,"498274982588	","全棉25113,L 【95-115斤】","1414448705194	",#dd#230711-489244619582951#18059530840#2023-07-11#0#21.98##;,无售后或售后取消,"463008550454818	",韵达快递,2023/7/10 21:33,否,,"	",
冰丝西装阔腿裤女高腰垂坠感胖mm直筒梨形身材夏季薄款休闲西裤子,230710-224940584531150,未发货，退款成功,"119.0	","5.0	","0.0	","114.0	","114.0	","1	","	","	","498379262538	","黑色-小个子 X053,S码 适合80-95斤","1414624293914	","	",退款成功,"	","	",2023/7/10 21:33,否,,"	",
可爱小香风新款吊带睡衣套装女夏季薄款短裤家居服两件套春秋,230710-134301675062115,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/12 1:38,2023/7/22 9:38,"498292277232	","蓝色樱桃【无胸垫】,L 推荐【100-120斤】","1414477129350	",#dd#230711-024022905662951#18059530840#2023-07-11#331453228244#18.9##;,无售后或售后取消,"463008550439491	",韵达快递,2023/7/10 21:32,否,,"	",
两件装棉麻七分裤女夏季宽松大码亚麻松紧腰小脚哈伦裤百搭休闲裤,230710-097040547223614,已签收,"90.1	","5.0	","0.0	","85.1	","85.1	","1	",2023/7/12 1:38,2023/7/22 1:38,"498367733224	","黑色+棕色【两件装】,3XL 建议145-160斤","1414604790376	",#dd#230711-147372195262951#18059530840#2023-07-11#390538439484#36.5##;,无售后或售后取消,"463008550433841	",韵达快递,2023/7/10 21:28,否,,"	",
天丝牛仔短裤子女夏新款薄冰丝休闲五分宽松阔腿高腰a字热裤大码,230710-349175837512923,已发货，退款成功,"44.88	","5.0	","0.0	","39.88	","39.88	","1	",2023/7/12 8:03,"	","498400479862	","浅蓝,L（110-140斤）","1414658742470	",#dd#230711-257918289342951#18059530840#2023-07-11#494649908522#12.9##;,退款成功,"463008638478308	",韵达快递,2023/7/10 21:28,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230710-172616621102923,已发货，退款成功,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:38,"	","497947696959	","全棉25187,M 【70-100斤】","1413927064057	",#dd#230711-475225189822951#18059530840#2023-07-11#467267952482#24.98##;,退款成功,"463008550454953	",韵达快递,2023/7/10 21:26,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230710-294251406170390,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:38,2023/7/19 13:58,"497947696959	","全棉25192,XL 【120-140斤】","1413927064055	",#dd#230711-387543223102951#18059530840#2023-07-11#0#24.98##;,无售后或售后取消,"463008550454478	",韵达快递,2023/7/10 21:26,否,,"	",
春夏季新款短袖棉绸女士中年妈妈睡衣套装大码宽松简约人棉家居服,230710-471696710593568,已签收,"75.65	","5.0	","0.0	","70.65	","70.65	","1	",2023/7/12 1:38,2023/7/22 9:38,"497944648079	","XLT端庄典雅,2XL （120-136斤）","1413922371373	",#dd#230711-200891493822951#18059530840#2023-07-11#461921018633#29.8##;,无售后或售后取消,"463008550462691	",韵达快递,2023/7/10 21:25,否,,"	",
冰丝西装阔腿裤女高腰垂坠感胖mm直筒梨形身材夏季薄款休闲西裤子,230710-299898050013511,已签收,"119.0	","5.0	","0.0	","114.0	","114.0	","1	",2023/7/12 1:38,2023/7/15 21:06,"498379262538	","黑色-常规款 X030,M码 适合96-105斤","1414624293909	",#dd#230711-544488856382951#18059530840#2023-07-11#359170288690#49.9##;,无售后或售后取消,"463008550463333	",韵达快递,2023/7/10 21:25,否,,"	",
冰丝西装阔腿裤女高腰垂坠感胖mm直筒梨形身材夏季薄款休闲西裤子,230710-281679010781514,已签收,"119.0	","5.0	","0.0	","114.0	","114.0	","1	",2023/7/12 8:03,2023/7/14 13:13,"498379262538	","黑色-常规款 X030,L码 适合106-115斤","1414624293910	",#dd#230711-274716487102951#18059530840#2023-07-11#359170288690#49.9##;,无售后或售后取消,"463008643187642	",韵达快递,2023/7/10 21:24,否,,"	",
紫色冰丝短裤女夏季薄款2023新款高腰垂感直筒宽松休闲五分裤子潮,230710-116103628163713,已签收,"55.2	","5.0	","0.0	","50.2	","50.2	","1	",2023/7/12 1:38,2023/7/22 1:38,"498399784415	","紫色【冰丝面料】,L 【建议110-125斤】","1414657956626	",#dd#230711-222717593022951#18059530840#2023-07-11#492567085889#19.9##;,无售后或售后取消,"463008550439623	",韵达快递,2023/7/10 21:23,否,,"	",
300斤睡衣女夏季薄款冰丝短袖套装新款可爱性感纯欲可外穿家居服,230710-149112790031888,未发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	","	","	","498240847913	","白色,2XL 190-240斤","1414394157617	","	",退款成功,"	","	",2023/7/10 21:22,否,,"	",
蓝色冰丝阔腿裤女2023新款高腰垂感小个子夏薄款防晒醋酸凉凉裤子,230710-112690544231922,已发货，退款成功,"68.5	","5.0	","0.0	","63.5	","63.5	","1	",2023/7/12 1:38,"	","498389049017	","黑色【小个子】（醋酸凉凉裤）,S 80-95斤","1414640391624	",#dd#230711-657195027262951#18059530840#2023-07-11#462517373301#24.89##;,退款成功,"463008550461062	",韵达快递,2023/7/10 21:19,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230710-525813728923605,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/12 8:03,2023/7/22 8:03,"498000631123	","A25113 全棉,L 【95-115斤】","1414008760758	",#dd#230711-320429136702951#18059530840#2023-07-11#474405619066#22.5##;,无售后或售后取消,"463008642369057	",韵达快递,2023/7/10 21:17,否,,"	",
夏季妈妈冰丝阔腿裤中老年新宽松百搭花色阔腿裤高腰显瘦高档裙裤,230710-605872464910600,已签收,"39.95	","5.0	","0.0	","34.95	","34.95	","1	",2023/7/12 1:33,2023/7/13 21:20,"498373068809	","1号色 【冰丝裤】,XL 建议【120斤内】","1414613202063	",#dd#230711-341295768382951#18059530840#2023-07-11#489179488192#9.8##;,无售后或售后取消,"463009856590398	",韵达快递,2023/7/10 21:16,否,,"	",
冰丝仿亚麻系带松紧腰灯笼阔腿裤五分裤女夏季新款宽松仿棉麻短裤,230710-200010648593157,已取消,"75.65	","5.0	","0.0	","70.65	","70.65	","1	","	","	","498376627311	","浅咖色 （五分裤）,L 建议（100-115斤）","1414619507323	","	",无售后或售后取消,"	","	","	","	",,"	",
ins风草莓熊睡衣女士短袖短裤夏季2023年新款加肥加大码200斤套装,230710-201064487830048,已签收,"50.15	","5.0	","0.0	","45.15	","45.15	","1	",2023/7/12 1:38,2023/7/21 11:46,"498282700196	","676方格熊,XXL码 【130-158斤】","1414461455260	",#dd#230711-215744593342951#18059530840#2023-07-11#220495921553#17.8##;,无售后或售后取消,"463008550454739	",韵达快递,2023/7/10 21:15,否,,"	",
夏季睡衣女冰丝夏韩版清新V领薄款印花仿真丝绸套装可外穿家居服,230710-083492903772881,未发货，退款成功,"52.7	","5.0	","0.0	","47.7	","47.7	","1	","	","	","497948772969	","815#粉色【优质款】,XL （115-130斤）","1413928850244	",#dd#230711-599397559742951#18059530840#2023-07-11#125727851916#18.8##;,退款成功,"	","	",2023/7/10 21:13,否,,"	",
紫色冰丝短裤女夏季薄款2023新款高腰垂感直筒宽松休闲五分裤子潮,230710-195386418153492,已签收,"64.32	","5.0	","0.0	","59.32	","59.32	","1	",2023/7/12 8:12,2023/7/20 21:35,"498399784415	","#7878紫色【高档面料】,2XL 【建议140-160斤】","1414657956648	",#dd#230711-069735607742951#18059530840#2023-07-11#492567085889#23.8##;,无售后或售后取消,"463008670990892	",韵达快递,2023/7/10 21:13,否,,"	",
大码女夏装新款微胖mm洋气遮肉显瘦裤裙高腰阔腿宽松外穿西装短裤,230710-194641981080564,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:38,2023/7/22 1:38,"498396200938	","卡其色,XL 120-140斤","1414652246790	",#dd#230711-493470391102951#18059530840#2023-07-11#461688380246#24.98##;,无售后或售后取消,"463008550436680	",韵达快递,2023/7/10 21:11,否,,"	",
2023灯笼裤女夏季薄款花海边睡裤宽松大人冰丝防蚊阔腿沙滩哈伦裤,230710-651700551273677,已签收,"37.8	","5.0	","0.0	","32.8	","32.8	","1	",2023/7/12 1:38,2023/7/16 8:02,"498374863468	","水墨画,大码140-170斤","1414616430058	",#dd#230711-166859907902951#18059530840#2023-07-11#365324832251#12.8##;,无售后或售后取消,"463008550462459	",韵达快递,2023/7/10 21:10,否,,"	",
法国进口纯亚麻九分裤宽松显瘦松紧腰大码棉麻哈伦裤小脚九分裤女,230710-386363606613647,已发货，退款成功,"89.25	","5.0	","0.0	","84.25	","84.25	","1	",2023/7/12 1:38,"	","498367213758	","浅灰色,L 100-110斤","1414603561191	",#dd#230711-316360682942951#18059530840#2023-07-11#362258272721#35.98##;,退款成功,"463008550438688	",韵达快递,2023/7/10 21:10,否,,"	",
【买一送一】带胸垫女士睡衣吊带睡裙女夏季宽松可外穿休闲家居服,230710-094340433410434,已签收,"97.75	","5.0	","0.0	","92.75	","92.75	","1	",2023/7/12 1:37,2023/7/22 9:37,"498238321140	","10 【带胸垫】潮流小熊+卡通公仔,XL 100-120斤","1414390127597	",#dd#230711-102267626302951#18059530840#2023-07-11#453750471597#37.81##;,无售后或售后取消,"463008550434088	",韵达快递,2023/7/10 21:10,否,,"	",
日系水洗布睡衣女夏薄款长袖柠檬可爱小清新人造棉布睡衣家居服套,230710-557349620553364,已发货，退款成功,"82.45	","5.0	","3.0	","74.45	","77.45	","1	",2023/7/12 8:11,"	","497997213360	","白色碎花 14-11,2XL（126--140斤）","1414003927209	",#dd#230711-122085764542951#18059530840#2023-07-11#177995709156#31.99##;,退款成功,"463008574715080	",韵达快递,2023/7/10 21:09,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230710-362581861292400,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/12 8:13,2023/7/16 17:28,"498000631123	","A25233 全棉,XL 【115-130斤】","1414008760751	",#dd#230711-340661441982951#18059530840#2023-07-11#474405619066#22.5##;,无售后或售后取消,"463008671418179	",韵达快递,2023/7/10 21:08,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖七分裤学生新款ins风家居服套装,230710-684646778473105,已签收,"65.45	","5.0	","3.0	","57.45	","60.45	","1	",2023/7/12 1:38,2023/7/16 7:52,"497947696959	","全棉25190,M 【70-100斤】","1413927064089	",#dd#230711-074427995582951#18059530840#2023-07-11#467267952482#21.98##;,无售后或售后取消,"463008550462506	",韵达快递,2023/7/10 21:07,否,,"	",
冰丝仿亚麻系带松紧腰灯笼阔腿裤五分裤女夏季新款宽松仿棉麻短裤,230710-532975492121235,已签收,"75.65	","5.0	","0.0	","70.65	","70.65	","1	",2023/7/12 8:13,2023/7/19 23:51,"498376627311	","卡其色 （五分裤）,2XL 建议（130-145斤）","1414619507320	",#dd#230711-019136562622951#18059530840#2023-07-11#457294457827#17.42##;,无售后或售后取消,"463008670466969	",韵达快递,2023/7/10 21:06,否,,"	",
两件装棉麻七分裤女夏季宽松大码亚麻松紧腰小脚哈伦裤百搭休闲裤,230710-437633688451765,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/12 8:13,2023/7/15 18:44,"498367733224	","黑色（单件）,4XL 建议160-180斤","1414604790509	",#dd#230710-539707339582951#18059530840#2023-07-10#390538439484#18.8##;,无售后或售后取消,"777154279803884	",申通快递,2023/7/10 21:03,否,,"	",
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230710-039615262251653,已签收,"39.95	","5.0	","0.0	","34.95	","34.95	","1	",2023/7/12 1:37,2023/7/22 9:37,"498404375841	","黑色 有口袋优质面料,3XL（建议145-160斤）","1414665284436	",#dd#230710-278009025982951#18059530840#2023-07-10#0#10.79##;,无售后或售后取消,"463008550455425	",韵达快递,2023/7/10 21:02,否,,"	",
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230710-125954958161302,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:38,2023/7/22 9:38,"498404375841	","黑色+灰色【2件装】,3XL（建议145-160斤）","1414665284396	",#dd#230710-429848073662951#18059530840#2023-07-10#380595681868#18.91##;,无售后或售后取消,"777154275888178	",申通快递,2023/7/10 21:01,否,,"	",
夏季中老年人短袖棉绸套装加大码女人造棉妈妈装家居服夏天睡衣女,230710-447799694821931,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:38,2023/7/22 1:38,"497952758201	","抽象竖条套装,3XL 【130-155斤】","1413935442661	",#dd#230710-405840874302951#18059530840#2023-07-10#18283474#24.9##;,无售后或售后取消,"463008550457166	",韵达快递,2023/7/10 21:02,否,,"	",
棉麻冰丝速干哈伦裤女夏季薄款凉凉空调裤杏色抽绳束脚休闲山本裤,230710-069405316523546,已签收,"89.7	","5.0	","0.0	","84.7	","84.7	","1	",2023/7/11 3:36,2023/7/21 3:36,"498375391916	","黑色,2XL 建议体重（140-160）斤","1414617508695	",#dd#230710-546103684542951#18059530840#2023-07-10#488739083760#39.9##;,无售后或售后取消,"777154122150850	",申通快递,2023/7/10 21:00,否,,"	",
两件装棉麻七分裤女夏季宽松大码亚麻松紧腰小脚哈伦裤百搭休闲裤,230710-360547675543614,未发货，退款成功,"90.1	","5.0	","0.0	","85.1	","85.1	","1	","	","	","498367733224	","黑色+棕色【两件装】,3XL 建议145-160斤","1414604790376	","	",退款成功,"	","	",2023/7/10 20:59,否,,"	",
可爱小香风新款吊带睡衣套装女夏季薄款短裤家居服两件套春秋,230710-589561916970549,已发货，退款成功,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:38,"	","498292277232	","桃色【带胸垫】,2XL 推荐【135-155斤】","1414477129336	",#dd#230710-272724213182951#18059530840#2023-07-10#331453228244#19.9##;,退款成功,"777154275885022	",申通快递,2023/7/10 20:56,否,,"	",
100%纯棉高档睡衣女夏天全棉短袖短裤新款薄款圆领夏季家居服套装,230710-251537724993265,已签收,"62.9	","5.0	","0.0	","57.9	","57.9	","1	",2023/7/12 8:12,2023/7/22 8:12,"498000631123	","A25306 全棉,2XL 【130-160斤】","1414008760776	",#dd#230710-033774704062951#18059530840#2023-07-10#474405619066#22.5##;,无售后或售后取消,"777154279831665	",申通快递,2023/7/10 20:54,否,,"	",
可爱小香风新款吊带睡衣套装女夏季薄款短裤家居服两件套春秋,230710-386337360930042,已签收,"55.25	","3.0	","0.0	","52.25	","52.25	","1	",2023/7/12 1:37,2023/7/22 1:37,"498292277232	","白色【带胸垫】,M 推荐【80-100斤】","1414477129329	",#dd#230710-178221239102951#18059530840#2023-07-10#331453228244#19.9##;,无售后或售后取消,"777154275890397	",申通快递,2023/7/10 20:53,否,,"	",
可爱小香风新款吊带睡衣套装女夏季薄款短裤家居服两件套春秋,230710-520964085410042,已取消,"55.25	","3.0	","0.0	","52.25	","52.25	","1	","	","	","498292277232	","白色【带胸垫】,M 推荐【80-100斤】","1414477129329	","	",无售后或售后取消,"	","	","	","	",,"	",
可爱小香风新款吊带睡衣套装女夏季薄款短裤家居服两件套春秋,230710-463963473570042,已取消,"55.25	","5.0	","0.0	","50.25	","50.25	","1	","	","	","498292277232	","白色【带胸垫】,M 推荐【80-100斤】","1414477129329	","	",无售后或售后取消,"	","	","	","	",,"	",
【买一送一】夏季薄款短袖睡衣女学生甜美短裤卡通家居服两件套装,230710-325750691323748,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 8:13,2023/7/22 8:13,"497991683684	","米黄小熊+娃娃熊,XL 建议105-120斤","1413995309290	",#dd#230710-285469612862951#18059530840#2023-07-10#456636135567#25##;,无售后或售后取消,"777154279855733	",申通快递,2023/7/10 20:52,否,,"	",
【买一送一】夏季薄款短袖睡衣女学生甜美短裤卡通家居服两件套装,230710-367012125563748,未发货，退款成功,"65.45	","5.0	","0.0	","60.45	","60.45	","1	","	","	","497991683684	","米黄小熊+娃娃熊,XL 建议105-120斤","1413995309290	","	",退款成功,"	","	",2023/7/10 20:48,否,,"	",
睡衣女夏季短袖长裤卡通可爱棉质韩版休闲宽松甜美清新家居服套装,230710-415687023490207,未发货，退款成功,"58.65	","5.0	","0.0	","53.65	","53.65	","1	","	","	","497979100563	","格子醉熊短袖长裤套装女,M码","1413975864653	","	",退款成功,"	","	",2023/7/10 20:46,否,,"	",
100%纯棉高档睡衣女夏天全棉薄款学生ins风2023年新款家居服套装,230710-166933360003735,已签收,"63.75	","5.0	","0.0	","58.75	","58.75	","1	",2023/7/12 1:37,2023/7/22 1:37,"498274982588	","全棉25306,M 【70-95斤】","1414448705177	",#dd#230710-567242924862951#18059530840#2023-07-10#462812724748#21.98##;,无售后或售后取消,"777154275889676	",申通快递,2023/7/10 20:46,否,,"	",
大码女夏装新款微胖mm洋气遮肉显瘦裤裙高腰阔腿宽松外穿西装短裤,230710-617768559441587,已签收,"65.45	","5.0	","0.0	","60.45	","60.45	","1	",2023/7/12 1:37,2023/7/16 16:17,"498396200938	","黑色,XL 120-140斤","1414652246784	",#dd#230710-050336951742951#18059530840#2023-07-10#461688380246#24.98##;,无售后或售后取消,"463008550365756	",韵达快递,2023/7/10 20:46,否,,"	",
纯棉七分裤女夏季薄款亚麻中老年人大码休闲裤显瘦宽松高腰哈伦裤,230710-445560923070103,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/12 8:13,2023/7/22 8:13,"498368452918	","杏色(单件),3XL 建议145-160斤","1414605972955	",#dd#230710-016651457982951#18059530840#2023-07-10#388098901323#18.8##;,无售后或售后取消,"777154279799612	",申通快递,2023/7/10 20:46,否,,"	",
夏季睡衣女冰丝夏韩版清新V领薄款印花仿真丝绸套装可外穿家居服,230710-266595214300731,已取消,"52.7	","5.0	","0.0	","47.7	","47.7	","1	","	","	","497948772969	","815#粉色【优质款】,XL （115-130斤）","1413928850244	","	",无售后或售后取消,"	","	","	","	",,"	",
【两套价买一送一】睡裙女夏韩版网红女士学生宽松卡通可爱可外穿,230710-329011772992425,已发货，退款成功,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 8:13,"	","497957852711	","紫色小熊+卡其水杯,2XL 建议110-125斤","1413942801157	",#dd#230710-103735705022951#18059530840#2023-07-10#292404997582#19.9##;,退款成功,"777154279855939	",申通快递,2023/7/10 20:40,否,,"	",
夏季睡衣女冰丝夏韩版清新V领薄款印花仿真丝绸套装可外穿家居服,230710-447375021690915,已签收,"52.7	","5.0	","0.0	","47.7	","47.7	","1	",2023/7/12 1:37,2023/7/17 16:03,"497948772969	","815#粉色【优质款】,L （100-115斤）","1413928850243	",#dd#230710-436260126142951#18059530840#2023-07-10#125727851916#18.8##;,无售后或售后取消,"777154275889457	",申通快递,2023/7/10 20:39,否,,"	",
单两条纯棉短裤女夏新款阔腿宽松大码直筒高腰显瘦薄款休闲五分裤,230710-681962454451530,已签收，退款成功,"51.0	","5.0	","0.0	","46.0	","46.0	","1	",2023/7/12 17:06,2023/7/20 7:14,"498393606798	","白色+焦糖 【B003两条装】,L 建议100-120斤","1414647890766	",#dd#230710-611980461502951#18059530840#2023-07-10#355926272712#17.62##;,退款成功,"777153796298441	",申通快递,2023/7/10 20:38,否,,"	",
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230710-187076473851998,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:37,2023/7/18 19:02,"498404375841	","黑色+灰色【2件装】,5XL（建议180-200斤）","1414665284398	",#dd#230710-179919942462951#18059530840#2023-07-10#380595681868#18.91##;,无售后或售后取消,"777154275889718	",申通快递,2023/7/10 20:38,否,,"	",
冰丝西装阔腿裤女高腰垂坠感胖mm直筒梨形身材夏季薄款休闲西裤子,230710-206548582051849,已取消,"119.0	","5.0	","0.0	","114.0	","114.0	","1	","	","	","498379262538	","黑色-常规款 X030,XL码 适合116-125斤","1414624293911	","	",无售后或售后取消,"	","	","	","	",,"	",
UPF50+冰丝阔腿裤女夏季薄款高腰垂感小个子直筒休闲凉凉防晒裤,230710-466202141702494,已发货，退款成功,"67.1	","5.0	","0.0	","62.1	","62.1	","1	",2023/7/11 18:43,"	","498403131033	","黑色【加长款】 建议身高163-17,S 【80-105斤】触感冰凉","1414663222985	",#dd#230710-517682000702951#18059530840#2023-07-10#0#25.9##;,退款成功,"463009747438922	",韵达快递,2023/7/10 20:36,否,,"	",
2023新款女睡衣夏妈妈棉绸睡裙圆领中长款无袖连衣裙人造棉家居服,230710-301051463290865,已签收,"50.15	","5.0	","0.0	","45.15	","45.15	","1	",2023/7/12 1:33,2023/7/22 1:33,"498014880433	","绿底倾城,3XL 125-145斤","1414030866310	",#dd#230710-431572960702951#18059530840#2023-07-10#234825883860#13.78##;,无售后或售后取消,"463008365376203	",韵达快递,2023/7/10 20:35,否,,"	",
薄款冰丝睡衣女夏季短袖短裤胖mm300斤加肥大码家居服2件套装外穿,230710-642892440441590,已签收,"103.7	","5.0	","0.0	","98.7	","98.7	","1	",2023/7/12 1:37,2023/7/15 16:08,"498008298557	","8862KA2小花冰丝 偏大,XL码 建议140-170斤","1414020392504	",#dd#230710-341049363262951#18059530840#2023-07-10#490977136992#42.9##;,无售后或售后取消,"777154275891070	",申通快递,2023/7/10 20:35,否,,"	",
亚麻阔腿裤女高腰垂感2023字母松紧腰棉麻女裤宽松显瘦拖地长裤子,230710-526621100842965,已签收,"76.5	","5.0	","0.0	","71.5	","71.5	","1	",2023/7/12 8:13,2023/7/22 8:13,"498382503935	","卡其色,S 建议80-90斤","1414629108852	",#dd#230710-617553673662951#18059530840#2023-07-10#462151508603#29.9##;,无售后或售后取消,"777154279793135	",申通快递,2023/7/10 20:35,否,,"	",
夏款冰丝睡衣女士夏季短袖长裤薄款丝绸家居服春秋款两件套装,230710-273258976743177,未发货，退款成功,"96.05	","5.0	","0.0	","91.05	","91.05	","1	","	","	","497984016735	","7SC-短长夕岚心心语,L（101-120斤）","1413983512380	","	",退款成功,"	","	",2023/7/10 20:35,否,,"	",
UPF50+冰丝阔腿裤女夏季薄款高腰垂感小个子直筒休闲凉凉防晒裤,230710-204545801911357,已发货，待签收,"67.1	","5.0	","0.0	","62.1	","62.1	","1	",2023/7/12 1:37,"	","498403131033	","黑色【常规款】 建议身高153-16,S 【80-105斤】触感冰凉","1414663222972	",#dd#230710-627656651582951#18059530840#2023-07-10#486305433383#25.9##;,售后处理中,"463008550366276	",韵达快递,2023/7/10 20:34,否,,"	",
亚麻阔腿裤女高腰垂感折扣商场清仓处理夏季棉麻女裤花苞腰直筒裤,230710-107835585520498,已发货，退款成功,"69.7	","5.0	","0.0	","64.7	","64.7	","1	",2023/7/12 1:37,"	","498369161630	","白色九分裤,S 建议80-95斤","1414606852354	",#dd#230710-657918565182951#18059530840#2023-07-10#464233083968#26.9##;,退款成功,"777154275890038	",申通快递,2023/7/10 20:34,否,,"	",
【买一送一】自带胸垫新款睡衣女士夏季宽松条纹学生家居服两套装,230710-288169737812525,已发货，退款成功,"81.6	","5.0	","0.0	","76.6	","76.6	","1	",2023/7/12 1:37,"	","498216278749	","SD1104灰色+黄色 【实发两套,2XL 建议125-140斤","1414354618502	",#dd#230710-605348197182951#18059530840#2023-07-10#478751201874#26.39##;,退款成功,"777154275890683	",申通快递,2023/7/10 20:33,否,,"	",
【两套价买一送一】睡裙女夏韩版网红女士学生宽松卡通可爱可外穿,230710-026827898533559,已签收,"39.95	","5.0	","0.0	","34.95	","34.95	","1	",2023/7/12 8:12,2023/7/22 8:12,"497957852711	","一件装幸福猫,L 建议75-95斤","1413942801239	",#dd#230710-427824259902951#18059530840#2023-07-10#292404997582#12.8##;,无售后或售后取消,"777154279845774	",申通快递,2023/7/10 20:32,否,,"	",
春夏季新款短袖棉绸女士中年妈妈睡衣套装大码宽松简约人棉家居服,230710-679970087992675,已签收,"75.65	","5.0	","0.0	","70.65	","70.65	","1	",2023/7/12 1:37,2023/7/14 9:27,"497944648079	","XLT兰草成行,XL（100-120斤）","1413922371497	",#dd#230710-646531050942951#18059530840#2023-07-10#461921018633#29.8##;,无售后或售后取消,"463008550450022	",韵达快递,2023/7/10 20:32,否,,"	",
冰丝阔腿运动短裤女夏季薄款大码胖mm高腰宽松显瘦五分休闲中裤子,230710-530506095373523,已签收,"55.25	","5.0	","0.0	","50.25	","50.25	","1	",2023/7/12 1:37,2023/7/20 19:39,"498404375841	","灰色+杏色【2件装】,XL（建议115-125斤）","1414665284426	",#dd#230710-297648823102951#18059530840#2023-07-10#380595681868#18.91##;,无售后或售后取消,"777154275888701	",申通快递,2023/7/10 20:32,否,,"	",
紫色冰丝短裤女夏季薄款2023新款高腰垂感直筒宽松休闲五分裤子潮,230710-133840322123671,已发货，退款成功,"55.2	","3.0	","0.0	","52.2	","52.2	","1	",2023/7/12 1:37,"	","498399784415	","卡其【冰丝面料】,M 【建议95-110斤】","1414657956635	",#dd#230710-367908647742951#18059530840#2023-07-10#492567085889#19.9##;,退款成功,"777154275890427	",申通快递,2023/7/10 20:31,否,,"	",
